source,n_nodes,n_edges,density,avg_degree,degree_gini,degree_entropy,n_components,giant_cc_ratio,avg_shortest_path_gcc,diameter_gcc,avg_clustering,assortativity,modularity,n_communities
2505.14738_graph,39,60,0.08097165991902834,3.076923076923077,0.0,5.050222422004224,4,0.3333333333333333,2.1538461538461537,4,0.19304029304029305,-0.4076015727391875,0.709438948477897,5
2504.12516_graph,14,21,0.23076923076923078,3,0.0,3.5950806738415215,2,0.8571428571428571,2.1818181818181817,4,0.33333333333333337,0.0933117583603015,0.37352579033447936,4
2505.23723_graph,95,173,0.0387458006718925,3.642105263157895,0.0,6.070690122817871,10,0.4631578947368421,2.2864693446088795,4,0.4452169273221905,-0.1771472197294052,0.7036321538230013,11
2504.19413_graph,42,93,0.10801393728222997,4.428571428571429,0.0,5.101464349244837,4,0.5,1.9904761904761905,4,0.4966639180924895,0.14991229694836916,0.5481687066834522,6
2505.14069_graph,60,175,0.09887005649717515,5.833333333333333,0.0,5.181570477701154,5,0.7166666666666667,2.3300110741971207,5,0.3072525069189237,-0.4185267871499902,0.2816520158957276,7
2504.15257_graph,41,68,0.08292682926829269,3.317073170731707,0.0,5.080726692418445,5,0.34146341463414637,1.8681318681318682,3,0.5349699081406398,-0.18152953823845608,0.7111855438773675,5
2504.20406_graph,30,32,0.0735632183908046,2.1333333333333333,0.0,4.628928031846025,6,0.43333333333333335,2.2051282051282053,4,0.2033333333333333,0.08005822416302766,0.6495992119132573,7
2505.22954_graph,53,83,0.0602322206095791,3.1320754716981134,0.0,5.317539992977046,5,0.7169811320754716,3.1735419630156474,6,0.46454488907319097,-0.275501842952835,0.5996517760336139,8
2504.16078_graph,56,59,0.03831168831168831,2.107142857142857,0.0,5.313208436474234,10,0.5,3.484126984126984,6,0.1966117216117216,-0.2083333333333335,0.7406020799151113,12
2506.09656_graph,224,437,0.017496796925048047,3.9017857142857144,0.0,7.403217474977097,20,0.24553571428571427,3.9393939393939394,9,0.39752251716537435,0.11706558180573809,0.871697849606019,26
2507.03904_graph,111,156,0.025552825552825554,2.810810810810811,0.0,6.430179390208174,13,0.21621621621621623,2.286231884057971,4,0.27082797082797083,-0.250662612863233,0.8619647824482705,14
